"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Montebourg sur le programme de Macron : ""Quand c'est flou il y a un loup""  #PrimaireLeDebat",FALSE,2,NA,2017-01-19 22:20:17,FALSE,NA,"822207076411801600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","libe",2,FALSE,FALSE,NA,NA
"2","RT @faizaz: Non mais Valls quand même avec sa directrice de cabinet il a sorti la carte Morano avec son amie noire. #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:17,FALSE,NA,"822207074327298049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FuryinaRevenga",10,TRUE,FALSE,NA,NA
"3","RT @cliopitoeff: #PrimaireLeDebat #Relache 
Si @davidpujadas et @LeaSalame font des petits, @GuillaumeTC a pensé à eux... https://t.co/Ci2c…",FALSE,0,NA,2017-01-19 22:20:17,FALSE,NA,"822207074255785986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CharpentierBer2",16,TRUE,FALSE,NA,NA
"4","RT @JeunesAvecHamon: « Je trouve @EmmanuelMacron terriblement classique dans ses solutions » @benoithamon #PrimaireLeDébat #Hamon2017",FALSE,0,NA,2017-01-19 22:20:16,FALSE,NA,"822207073350012928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ebarreto1355",8,TRUE,FALSE,NA,NA
"5","RT @femmelibre958: .@manuelvalls Guerre économique Peillon connaît-il l'expression ?  #AvecValls  #PrimaireLeDébat ������  https://t.co/0R5SpLV3…",FALSE,0,NA,2017-01-19 22:20:16,FALSE,NA,"822207070896345088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alizee_Reb_L",2,TRUE,FALSE,NA,NA
"6","""Quel est le programme de Macron?"" Montebourg qui pose la question du siècle. #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:15,FALSE,NA,"822207068866224128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DamienDole",0,FALSE,FALSE,NA,NA
"7","@JlBennahmias ne démord pas de son socle commun à propos de l'UE. Ça rigole autour bien que cela ne manque pas de sens.
#PrimaireLeDebat",FALSE,0,"JlBennahmias",2017-01-19 22:20:15,FALSE,NA,"822207068287434753","17404871","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PenanBossia",0,FALSE,FALSE,NA,NA
"8","RT @benoithamon: #PrimaireLeDebat Paix au Proche-orient : nous devons écouter les sociétés et prendre des initiatives -&gt; reconnaissance de…",FALSE,0,NA,2017-01-19 22:20:15,FALSE,NA,"822207068002258945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alkanz",149,TRUE,FALSE,NA,NA
"9","RT @PtdArcole: Primaires de la gauche : rappel du casting des 7 petits nains...
#PrimaireLeDebat https://t.co/8JgW0SulGQ",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207064957128709",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","O2_Petit_Potame",62,TRUE,FALSE,NA,NA
"10","Énorme, Montebourg sur la géolocalisation politique de #Macron.

#PrimaireLeDebat #Galileo",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207064126685186",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidAbiker",0,FALSE,FALSE,NA,NA
"11","RT @BFMTV: En Direct - Valls parlant de Peillon: "" Il me rappelle parfois un bon vieux professeur"" https://t.co/MHNB627sD6 #PrimaireLeDebat…",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207063715627008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErikaNatze",8,TRUE,FALSE,NA,NA
"12","RT @JeunesAvecHamon: « Je trouve @EmmanuelMacron terriblement classique dans ses solutions » @benoithamon #PrimaireLeDébat #Hamon2017",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207063338184707",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlcaTorda_",8,TRUE,FALSE,NA,NA
"13","RT @Europe1: Pour @SylviaPinel, ""il y a une volonté d'alignement"" chez Marine Le Pen et François Fillon #PrimaireLeDébat https://t.co/C35kh…",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207063006834690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EurOKP",11,TRUE,FALSE,NA,NA
"14","RT @benoithamon: #PrimaireLeDebat Paix au Proche-orient : nous devons écouter les sociétés et prendre des initiatives -&gt; reconnaissance de…",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207062293807105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onizukabyle",149,TRUE,FALSE,NA,NA
"15","RT @adrienduf: Encore une fois @FdeRugy et @Vincent_Peillon sont les deux plus sérieux ! #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207062285438978",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","guy5512",2,TRUE,FALSE,NA,NA
"16","RT @DavidAbiker: ""Arrêtez d'essayer de m'arrêter c'est épouvantable"" 

Bennahmias remixe Balladur !

#PrimaireLeDebat #Sample",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207061790441473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMaddy2",10,TRUE,FALSE,NA,NA
"17","Quand c'est flou il y a un loup. @montebourg #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207061765324804",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","F_BoisdEnghien",0,FALSE,FALSE,NA,NA
"18","#PrimaireLeDebat #Valls2017 @montebourg : bravo à propos de Macron !",FALSE,0,NA,2017-01-19 22:20:14,FALSE,NA,"822207061589102592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaouiOlivier",0,FALSE,FALSE,NA,NA
"19","#Montebourg quel est le programme de Macron ? ""Quand c'est flou, il y a un loup"" #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:13,FALSE,NA,"822207060863578114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MorganRochais",0,FALSE,FALSE,NA,NA
"20","#PrimaireLeDebat c'est pas bien de parler de #macron qui n'est pas là pour se défendre #france2",FALSE,0,NA,2017-01-19 22:20:13,FALSE,NA,"822207060016332803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SandBett",0,FALSE,FALSE,NA,NA
"21","RT @femmelibre958: .@manuelvalls Guerre économique Peillon connaît-il l'expression ?  #AvecValls  #PrimaireLeDébat ������  https://t.co/0R5SpLV3…",FALSE,0,NA,2017-01-19 22:20:13,FALSE,NA,"822207059374575616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","infernale95",2,TRUE,FALSE,NA,NA
"22","RT @AnaisRostaqi: Benoît Hamon candidat très sérieux concernant les relations internationales. J'adore! #Hamon2017 #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:13,FALSE,NA,"822207059173195778",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zeitoun32350641",6,TRUE,FALSE,NA,NA
"23","parmi les terroristes islamistes en France  #Bataclan #CharlieHebdo etc  zéro Stéphane,  #CQFD #Discriminations… https://t.co/yGTHGBTXfX",FALSE,2,NA,2017-01-19 22:20:12,TRUE,NA,"822207056576970754",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bye_Bye_Tweeter",1,FALSE,FALSE,NA,NA
"24","RT @gdeviolet: Missile de Hamon : ""Macron, je ne trouve pas ça inintéressant, je trouve ça tout simplement vieux"". #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:12,FALSE,NA,"822207054387576833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ParisMatch",2,TRUE,FALSE,NA,NA
"25","RT @DUBOISAlain2508: ""Il faudra reprendre le travail sur les préjugés de genre"" #avecpeillon #peillon2017 #PrimaireLeDebat",FALSE,0,NA,2017-01-19 22:20:12,FALSE,NA,"822207053624180737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ParisAcPeillon",3,TRUE,FALSE,NA,NA
"26","RT @tomvampouille: Mais stop, on n'en peut plus, ça fait l'équivalent d'une journée de travail de débats en une semaine… #PrimaireLeDebat h…",FALSE,0,NA,2017-01-19 22:20:12,FALSE,NA,"822207053238333440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OlivierPerou",1,TRUE,FALSE,NA,NA
"27","Ils ont vraiment peur de Macron ! j’adore !! #primaireledebat",FALSE,0,NA,2017-01-19 22:20:11,FALSE,NA,"822207052516904960",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","FolleHistory",0,FALSE,FALSE,NA,NA
"28","RT @Ju_Arnaud: C'est moi qui suis très fatigué ou bien le décor bouge??
#PrimaireLeDebat 
#maldemer ������",FALSE,0,NA,2017-01-19 22:20:11,FALSE,NA,"822207052181291008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MagPenelope",2,TRUE,FALSE,NA,NA
